,Competition,Year,Athlete,FinishPosition
0,EuroChamp Villars 2024 Lead Senior Female,2024,Laura ROGORA (ITA),1
16,EuroChamp Villars 2024 Lead Senior Female,2024,Ievgeniia KAZBEKOVA (UKR),2
32,EuroChamp Villars 2024 Lead Senior Female,2024,Lynn VAN DER MEER (NED),3
1,EuroChamp Munich 2022 Lead Senior Female,2022,Janja GARNBRET (SLO),1
17,EuroChamp Munich 2022 Lead Senior Female,2022,Jessica PILZ (AUT),2
33,EuroChamp Munich 2022 Lead Senior Female,2022,Manon HILY (FRA),3
2,EuroChamp Moscow 2020 Lead Senior Female,2020,Viktoriia MESHKOVA (RUS),1
18,EuroChamp Moscow 2020 Lead Senior Female,2020,Eliska ADAMOVSKA (CZE),2
34,EuroChamp Moscow 2020 Lead Senior Female,2020,Molly THOMPSON-SMITH (GBR),3
3,EuroChamp Edinburgh 2019 Lead Senior Female,2019,Lucka RAKOVEC (SLO),1
19,EuroChamp Edinburgh 2019 Lead Senior Female,2019,Laura ROGORA (ITA),2
35,EuroChamp Edinburgh 2019 Lead Senior Female,2019,Luce DOUADY (FRA),3
4,EuroChamp Campitello di Fassa 2017 Lead Senior Female,2017,Anak VERHOEVEN (BEL),1
20,EuroChamp Campitello di Fassa 2017 Lead Senior Female,2017,Mina MARKOVIC (SLO),2
36,EuroChamp Campitello di Fassa 2017 Lead Senior Female,2017,Jessica PILZ (AUT),3
5,EuroChamp Chamonix 2015 Lead Senior Female,2015,Mina MARKOVIC (SLO),1
21,EuroChamp Chamonix 2015 Lead Senior Female,2015,Janja GARNBRET (SLO),2
6,EuroChamp Chamonix 2013 Lead Senior Female,2013,Dinara FAKHRITDINOVA (RUS),1
22,EuroChamp Chamonix 2013 Lead Senior Female,2013,Mina MARKOVIC (SLO),2
37,EuroChamp Chamonix 2013 Lead Senior Female,2013,Hélène JANICOT (FRA),3
7,EuroChamp Imst/Innsbruck 2010 Lead Senior Female,2010,Angela EITER (AUT),1
23,EuroChamp Imst/Innsbruck 2010 Lead Senior Female,2010,Johanna ERNST (AUT),2
38,EuroChamp Imst/Innsbruck 2010 Lead Senior Female,2010,Alizée DUFRAISSE (FRA),3
8,EuroChamp Paris 2008 Lead Senior Female,2008,Johanna ERNST (AUT),1
24,EuroChamp Paris 2008 Lead Senior Female,2008,Maja STREMFELJ (SLO),2
39,EuroChamp Paris 2008 Lead Senior Female,2008,Mina MARKOVIC (SLO),3
9,EuroChamp Yekaterinburg 2006 Lead Senior Female,2006,Charlotte DURIF (FRA),1
25,EuroChamp Yekaterinburg 2006 Lead Senior Female,2006,Sandrine LEVET (FRA),2
40,EuroChamp Yekaterinburg 2006 Lead Senior Female,2006,Maja STREMFELJ (SLO),3
10,EuroChamp Lecco 2004 Lead Senior Female,2004,Bettina SCHÖPF (AUT),1
26,EuroChamp Lecco 2004 Lead Senior Female,2004,Natalija GROS (SLO),2
41,EuroChamp Lecco 2004 Lead Senior Female,2004,Katharina SAURWEIN (AUT),3
11,EuroChamp Paris 2002 Lead Senior Female,2002,Chloé MINORET (FRA),1
27,EuroChamp Paris 2002 Lead Senior Female,2002,Martina CUFAR (SLO),2
42,EuroChamp Paris 2002 Lead Senior Female,2002,Sandrine LEVET (FRA),3
43,EuroChamp Paris 2002 Lead Senior Female,2002,Muriel SARKANY (BEL),3
12,EuroChamp Munich 2000 Lead Senior Female,2000,Katrin SEDLMAYER (GER),1
28,EuroChamp Munich 2000 Lead Senior Female,2000,Stéphanie BODET (FRA),2
44,EuroChamp Munich 2000 Lead Senior Female,2000,Marietta UHDEN (GER),3
13,EuroChamp Nurnberg 1998 Lead Senior Female,1998,Muriel SARKANY (BEL),1
29,EuroChamp Nurnberg 1998 Lead Senior Female,1998,Venera CHERESHNEVA (RUS),2
45,EuroChamp Nurnberg 1998 Lead Senior Female,1998,Liv SANSOZ (FRA),3
14,EuroChamp Paris 1996 Lead Senior Female,1996,Liv SANSOZ (FRA),1
30,EuroChamp Paris 1996 Lead Senior Female,1996,Laurence GUYON (FRA),2
46,EuroChamp Paris 1996 Lead Senior Female,1996,Venera CHERESHNEVA (RUS),3
47,EuroChamp Paris 1996 Lead Senior Female,1996,Stéphanie BODET (FRA),3
15,EuroChamp Frankfurt 1992 Lead Senior Female,1992,Susi GOOD (SUI),1
31,EuroChamp Frankfurt 1992 Lead Senior Female,1992,Isabelle PATISSIER (FRA),2
48,EuroChamp Frankfurt 1992 Lead Senior Female,1992,Laurence GUYON (FRA),3
